Subject,Start Date,Start Time,End Time,Location,Description
"BME Seminar: John Platig, Ph.D., University of Virginia",2024-04-26,,,,School of Engineering and Applied Science
ECE Seminar: Speaker: Dr. Rounak Meyur,2024-04-26,,,THORNTON HALL ROOM E316,School of Engineering and Applied Science
Visit McIntire,2024-04-16,,,,McIntire School of Commerce
The SEC Enforcement and Quantitative Analytics,2024-04-16,,,Rouss & Robertson Halls,McIntire School of Commerce
Lets Network: Real Estate,2024-04-17,,,,McIntire School of Commerce
"Black Alumni Weekend: ""OnBoard"" Screening, Panel & Reception",2024-04-19,,,,McIntire School of Commerce
M.S. in Commerce Information Session,2024-04-23,,,,McIntire School of Commerce
Alternative Investing in a Rapidly Changing Environment  McIntire Alumni Panel,2024-04-25,,,,McIntire School of Commerce
Connaughton Speaker Series: A Founders Conversation,2024-04-26,,,,McIntire School of Commerce
NYC Alumni & Friends Reception,2024-05-07,,,,McIntire School of Commerce
Knowledge Continuum,2024-05-10,,,,McIntire School of Commerce
M.S. in Accounting Information Session,2024-05-14,,,,McIntire School of Commerce
London Pub Night with Carl Zeithaml,2024-05-30,,,London,McIntire School of Commerce
"Reunions Weekend Lunch: Classes of '94, '89, '84, '79, '74, TJ Society",2024-06-01,,,,McIntire School of Commerce
