Title,Start Time,End Time,Date,Location,Department,Site
Blackness Beyond Protestantism: A Critical Conversation Between Religion and Black Studies,01:00 PM,04:00 PM,2024-04-19,Minor Hall 110,Religious Studies,https://religiousstudies.as.virginia.edu/events
Porneia in Achaia: Ancient Stereotypes and Pauls Corinthian Correspondence,02:00 PM,03:30 PM,2024-04-23,,Religious Studies,https://religiousstudies.as.virginia.edu/events
Religious Studies Diploma Ceremony,11:30 AM,01:00 PM,2024-05-18,Slaughter Recreation Center,Religious Studies,https://religiousstudies.as.virginia.edu/events
RED Lecture with Dana Lloyd,05:00 PM,07:00 PM,2024-09-19,TBA,Religious Studies,https://religiousstudies.as.virginia.edu/events
Making Noise in the Library: The Dale Avenue Band,01:00 PM,12:00 PM,2024-04-19,UVA Music Library in Old Cabell Hall,Music,https://music.virginia.edu/events
SPICMACAY at UVA Presents: Indian Classical Night**Affiliated Event,07:00 PM,06:00 PM,2024-04-20,Mcleod Hall,Music,https://music.virginia.edu/events
Charlottesville Symphony at the University of VirginiaMasterworks 5: Academic Festival,07:30 PM,06:30 PM,2024-04-20,Old Cabell Hall,Music,https://music.virginia.edu/events
UVA Cello Ensemble Recital,12:30 PM,11:30 AM,2024-04-21,Rotunda Dome Room,Music,https://music.virginia.edu/events
Wind Ensemble Spring 2024 Concert,07:30 PM,06:30 PM,2024-04-22,Hunter Smith Band Building,Music,https://music.virginia.edu/events
"Tuesday Evening Concert Series presents pianist Paul Lewis, CBE**Affiliated Event",07:30 PM,06:30 PM,2024-04-23,Old Cabell Hall,Music,https://music.virginia.edu/events
Tea Time Recitals Spring 2024,01:00 PM,12:00 PM,2024-04-25,Old Cabell Hall,Music,https://music.virginia.edu/events
Concert Band Spring 2024 Concert,06:00 PM,05:00 PM,2024-04-26,Observatory Hill Field (greenspace outside of OHill),Music,https://music.virginia.edu/events
Emily HunterDistinguished Major Flute Recital,08:00 PM,07:00 PM,2024-04-26,Old Cabell Hall,Music,https://music.virginia.edu/events
Voice Recital Spring 2024by the students from the Studio of Stephanie Nakasian,06:00 PM,05:00 PM,2024-04-30,The Forum at O-Hill,Music,https://music.virginia.edu/events
"Digitalis 2024, Electronic Music Festival",08:00 PM,07:00 PM,2024-04-30,Old Cabell Hall,Music,https://music.virginia.edu/events
,02:00 PM,03:30 PM,2024-04-26,"Gibson Hall, 296",Politics,https://politics.virginia.edu/political-theory-colloquium
"Ana de la O Torres | Associate Professor, Yale University",10:00 AM,11:30 AM,2024-04-26,,Politics,https://politics.virginia.edu/lansing-b
Cristian Batista (Colloquium) Skyrmion Textures in Magnetic Materials,03:30 PM,02:30 PM,2024-04-19,Clark Hall Room 107,Physics,https://www.phys.virginia.edu/Announcements/
Tousif Islam (Gravity) Taming eccentricity in binary black hole mergers,01:30 PM,12:30 PM,2024-04-22,Physics Room 031,Physics,https://www.phys.virginia.edu/Announcements/
Dayne Coveyou (High Energy) TBA,04:00 PM,03:00 PM,2024-04-24,,Physics,https://www.phys.virginia.edu/Announcements/
Craig Dukes (Colloquium) Probing the Structures of Pyramids using Cosmic Ray Muon Tomography,03:30 PM,02:30 PM,2024-04-26,,Physics,https://www.phys.virginia.edu/Announcements/
Thursday Night Thrills: The Man Who Laughs,07:00 PM,06:00 PM,2024-04-20,Clark 107,Media Studies,https://mediastudies.as.virginia.edu/events
Co-Opting AI: Crime,05:00 PM,06:15 PM,2024-04-20,Zoom,Media Studies,https://mediastudies.as.virginia.edu/events
,11:00 AM,02:00 PM,2024-04-27,Wilson Hall first floor lounge,Media Studies,https://mediastudies.as.virginia.edu/events
Thursday Night Thrills: Metropolis,07:00 PM,06:00 PM,2024-04-27,Clark Hall 107.,Media Studies,https://mediastudies.as.virginia.edu/events
The Prehistory of Social Media,03:30 PM,04:00 PM,2024-04-27,Live Program,Media Studies,https://mediastudies.as.virginia.edu/events
Writing With Sound with Anna DeShawn,05:00 PM,04:00 PM,2024-04-27,1515 Student Center on the Corner,Media Studies,https://mediastudies.as.virginia.edu/events
